Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_265_3,VGND,li1,9.6600,734.4000,0.000000
FILLER_264_1573,VGND,li1,729.7900,728.9600,0.000000
FILLER_264_1565,VGND,li1,727.2600,728.9600,0.000000
FILLER_264_1553,VGND,li1,722.6600,728.9600,0.000000
FILLER_264_1541,VGND,li1,717.1400,728.9600,0.000000
FILLER_264_1539,VGND,li1,713.6900,728.9600,0.000000
FILLER_264_1533,VGND,li1,712.0800,728.9600,0.000000
FILLER_264_1521,VGND,li1,707.9400,728.9600,0.000000
FILLER_264_1509,VGND,li1,702.4200,728.9600,0.000000
FILLER_264_1497,VGND,li1,696.9000,728.9600,0.000000
FILLER_264_1485,VGND,li1,691.3800,728.9600,0.000000
FILLER_264_1483,VGND,li1,687.9300,728.9600,0.000000
FILLER_264_1477,VGND,li1,686.3200,728.9600,0.000000
FILLER_264_1465,VGND,li1,682.1800,728.9600,0.000000
FILLER_264_1453,VGND,li1,676.6600,728.9600,0.000000
FILLER_264_1441,VGND,li1,671.1400,728.9600,0.000000
FILLER_264_1429,VGND,li1,665.6200,728.9600,0.000000
FILLER_264_1427,VGND,li1,662.1700,728.9600,0.000000
FILLER_264_1421,VGND,li1,660.5600,728.9600,0.000000
FILLER_264_1409,VGND,li1,656.4200,728.9600,0.000000
FILLER_264_1397,VGND,li1,650.9000,728.9600,0.000000
FILLER_264_1385,VGND,li1,645.3800,728.9600,0.000000
FILLER_264_1373,VGND,li1,639.8600,728.9600,0.000000
FILLER_264_1371,VGND,li1,636.4100,728.9600,0.000000
FILLER_264_1365,VGND,li1,634.8000,728.9600,0.000000
FILLER_264_1353,VGND,li1,630.6600,728.9600,0.000000
FILLER_264_1341,VGND,li1,625.1400,728.9600,0.000000
FILLER_264_1329,VGND,li1,619.6200,728.9600,0.000000
FILLER_264_1317,VGND,li1,614.1000,728.9600,0.000000
FILLER_264_1315,VGND,li1,610.6500,728.9600,0.000000
FILLER_264_1309,VGND,li1,609.0400,728.9600,0.000000
FILLER_264_1297,VGND,li1,604.9000,728.9600,0.000000
FILLER_264_1285,VGND,li1,599.3800,728.9600,0.000000
FILLER_264_1273,VGND,li1,593.8600,728.9600,0.000000
FILLER_264_1261,VGND,li1,588.3400,728.9600,0.000000
FILLER_264_1259,VGND,li1,584.8900,728.9600,0.000000
FILLER_264_1253,VGND,li1,583.2800,728.9600,0.000000
FILLER_264_1241,VGND,li1,579.1400,728.9600,0.000000
FILLER_264_1229,VGND,li1,573.6200,728.9600,0.000000
FILLER_264_1217,VGND,li1,568.1000,728.9600,0.000000
FILLER_264_1205,VGND,li1,562.5800,728.9600,0.000000
FILLER_264_1203,VGND,li1,559.1300,728.9600,0.000000
FILLER_264_1197,VGND,li1,557.5200,728.9600,0.000000
FILLER_264_1185,VGND,li1,553.3800,728.9600,0.000000
FILLER_264_1173,VGND,li1,547.8600,728.9600,0.000000
FILLER_264_1161,VGND,li1,542.3400,728.9600,0.000000
FILLER_264_1149,VGND,li1,536.8200,728.9600,0.000000
FILLER_264_1147,VGND,li1,533.3700,728.9600,0.000000
FILLER_264_1141,VGND,li1,531.7600,728.9600,0.000000
FILLER_264_1129,VGND,li1,527.6200,728.9600,0.000000
FILLER_264_1117,VGND,li1,522.1000,728.9600,0.000000
FILLER_264_1105,VGND,li1,516.5800,728.9600,0.000000
FILLER_264_1093,VGND,li1,511.0600,728.9600,0.000000
FILLER_264_1091,VGND,li1,507.6100,728.9600,0.000000
FILLER_264_1085,VGND,li1,506.0000,728.9600,0.000000
FILLER_264_1073,VGND,li1,501.8600,728.9600,0.000000
FILLER_264_1061,VGND,li1,496.3400,728.9600,0.000000
FILLER_264_1049,VGND,li1,490.8200,728.9600,0.000000
FILLER_264_1037,VGND,li1,485.3000,728.9600,0.000000
FILLER_264_1035,VGND,li1,481.8500,728.9600,0.000000
FILLER_264_1029,VGND,li1,480.2400,728.9600,0.000000
FILLER_264_1017,VGND,li1,476.1000,728.9600,0.000000
FILLER_264_1005,VGND,li1,470.5800,728.9600,0.000000
FILLER_264_993,VGND,li1,465.0600,728.9600,0.000000
FILLER_264_981,VGND,li1,459.5400,728.9600,0.000000
FILLER_264_979,VGND,li1,456.0900,728.9600,0.000000
FILLER_264_973,VGND,li1,454.4800,728.9600,0.000000
FILLER_264_961,VGND,li1,450.3400,728.9600,0.000000
FILLER_264_949,VGND,li1,444.8200,728.9600,0.000000
FILLER_264_937,VGND,li1,439.3000,728.9600,0.000000
FILLER_264_925,VGND,li1,433.7800,728.9600,0.000000
FILLER_264_923,VGND,li1,430.3300,728.9600,0.000000
FILLER_264_917,VGND,li1,428.7200,728.9600,0.000000
FILLER_264_905,VGND,li1,424.5800,728.9600,0.000000
FILLER_264_893,VGND,li1,419.0600,728.9600,0.000000
