net,length_um
net396,155.48µm
net363,155.44µm
pwm_inst.RELOAD_REG\[2\],155.36µm
net206,155.15µm
_2179_,154.77µm
clknet_leaf_28_wb_clk_i,154.52µm
net172,154.22µm
net282,154.155µm
net417,153.95µm
net467,153.38µm
net426,153.28µm
pwm_inst.RELOAD_REG\[21\],153.145µm
clknet_leaf_65_wb_clk_i,153.06µm
_2573_,152.92µm
net220,152.74µm
_3019_,152.22µm
net113,152.215µm
clknet_leaf_41_wb_clk_i,152µm
pwm_inst.RELOAD_REG\[20\],151.76µm
pwm_inst.TMR_WIRE\[20\],151.15µm
pwm_inst.RELOAD_REG\[25\],150.975µm
net77,150.82µm
net242,150.74µm
dat_o\[2\]\[18\],150.68µm
_2110_,150.415µm
net190,150.28µm
net99,150.24µm
net262,150.18µm
pwm_inst.TMR_WIRE\[25\],149.83µm
net334,149.79µm
_1279_,149.42µm
_3014_,149.305µm
net529,148.97µm
net410,148.54µm
net249,148.49µm
net487,148.45µm
dat_o\[2\]\[8\],148.38µm
_2881_,147.935µm
_1890_,147.9µm
_2591_,147.62µm
pwm_inst.RELOAD_REG\[0\],147.59µm
dat_o\[2\]\[3\],147.455µm
_1483_,147.44µm
net126,147.08µm
clknet_leaf_67_wb_clk_i,146.8µm
_1265_,146.66µm
clknet_leaf_10_wb_clk_i,146.655µm
net386,146.09µm
_3042_,146µm
net272,145.96µm
_1611_,145.905µm
net240,145.73µm
net137,145.695µm
_1569_,145.18µm
net463,145.07µm
_2262_,144.96µm
dat_o\[2\]\[24\],144.94µm
clknet_leaf_30_wb_clk_i,144.66µm
_1267_,144.58µm
_1283_,144.32µm
pwm_inst.CMPY_REG\[5\],144.165µm
_2844_,143.73µm
net536,143.57µm
_2853_,143.435µm
pwm_inst.CMPX_REG\[5\],143.38µm
net394,143.29µm
net117,142.82µm
net493,142.71µm
clknet_leaf_11_wb_clk_i,142.635µm
_1259_,142.32µm
_2871_,142.185µm
net357,141.385µm
_2758_,141.17µm
_1269_,141.135µm
_3040_,140.74µm
_2722_,140.38µm
_2615_,140.1µm
_2723_,140µm
_1464_,139.95µm
_3035_,139.85µm
net298,139.81µm
_1270_,139.72µm
dat_o\[2\]\[0\],139.54µm
net465,139.4µm
_2858_,139µm
_2784_,138.78µm
_1836_,138.66µm
_2818_,138.03µm
net132,137.52µm
dat_o\[2\]\[21\],137.44µm
net400,137.3µm
net270,137.205µm
net75,136.74µm
net407,136.195µm
net371,136.18µm
uart_inst.instance_to_wrap.fifo_rx.r_ptr_reg\[2\],135.84µm
uart_inst.TXE,135.7µm
net274,135.3µm
clknet_leaf_16_wb_clk_i,135.26µm
net379,135.015µm
_1480_,134.935µm
net365,134.875µm
net558,134.7µm
_1624_,134.48µm
_2261_,134.16µm
_2752_,134.16µm
net251,133.94µm
net383,133.735µm
_2546_,133.64µm
net163,133.5µm
net164,132.45µm
_2891_,132.285µm
net222,131.8µm
pwm_inst.CMPY_REG\[15\],131.68µm
net141,131.5µm
net382,131.38µm
clknet_leaf_51_wb_clk_i,130.8µm
_1805_,130.79µm
dat_o\[2\]\[25\],130.54µm
_2638_,129.94µm
_3006_,128.81µm
net144,128.8µm
pwm_inst.CMPY_REG\[9\],128.415µm
_2219_,128.26µm
net250,127.8µm
_2888_,127.76µm
pwm_inst.CMPX_REG\[3\],126.895µm
net549,126.76µm
clknet_leaf_53_wb_clk_i,126.66µm
clknet_leaf_49_wb_clk_i,126.64µm
_2845_,126.555µm
net196,126.395µm
pwm_inst.CMPX_REG\[6\],126.16µm
dat_o\[2\]\[7\],125.88µm
clknet_leaf_3_wb_clk_i,125.66µm
net339,125.48µm
_1667_,125.39µm
_2133_,125.36µm
ack\[1\],125.125µm
stb\[2\],125.08µm
_1840_,124.7µm
clknet_leaf_55_wb_clk_i,124.68µm
dat_o\[2\]\[6\],124.66µm
_1275_,124.62µm
net445,124.52µm
uart_inst.CFG_REG\[3\],124.5µm
clknet_leaf_0_wb_clk_i,124.5µm
pwm_inst.CMPX_REG\[15\],124.11µm
net248,123.6µm
clknet_leaf_23_wb_clk_i,123.6µm
_1419_,123.46µm
_1791_,123.08µm
_1264_,123.075µm
_1447_,122.4µm
clknet_leaf_44_wb_clk_i,122.26µm
dat_o\[2\]\[4\],121.74µm
net300,121.66µm
dat_o\[2\]\[16\],120.87µm
net389,120.29µm
clknet_leaf_59_wb_clk_i,119.665µm
net289,119.635µm
_3012_,119.6µm
net127,119.5µm
net435,119.44µm
_1234_,118.86µm
uart_inst.instance_to_wrap.fifo_tx.r_ptr_reg\[3\],118.82µm
net377,118.78µm
clknet_leaf_20_wb_clk_i,117.84µm
net184,117.64µm
_1826_,117.56µm
clknet_leaf_2_wb_clk_i,117.35µm
net450,117.32µm
net364,115.88µm
clknet_leaf_42_wb_clk_i,115.54µm
net370,115.42µm
pwm_inst.CMPY_REG\[0\],115.38µm
net296,114.44µm
